entity_id,field-name,field-value
3104741, "ELEV", "914.400000000000091"
3111315, "fid", "263"
3111315, "ID", "262"
3111315, "ELEV", "1828.800000000000182"
3113958, "fid", "264"
3113958, "ID", "263"
3113958, "ELEV", "1219.200000000000045"
3115080, "fid", "265"
3115080, "ID", "264"
3115080, "ELEV", "304.800000000000011"
3115780, "fid", "266"
3115780, "ID", "265"
3115780, "ELEV", "1828.800000000000182"
3116142, "fid", "267"
3116142, "ID", "266"
3116142, "ELEV", "609.600000000000023"
3125309, "fid", "268"
3125309, "ID", "267"
3125309, "ELEV", "1828.800000000000182"
3126735, "fid", "269"
3126735, "ID", "268"
3126735, "ELEV", "304.800000000000011"
3128728, "fid", "270"
3128728, "ID", "269"
3128728, "ELEV", "609.600000000000023"
3129181, "fid", "271"
3129181, "ID", "270"
3129181, "ELEV", "1219.200000000000045"
3129847, "fid", "272"
3129847, "ID", "271"
3129847, "ELEV", "304.800000000000011"
3130139, "fid", "273"
3130139, "ID", "272"
3130139, "ELEV", "304.800000000000011"
3131060, "fid", "274"
3131060, "ID", "273"
3131060, "ELEV", "304.800000000000011"
3131726, "fid", "275"
3131726, "ID", "274"
3131726, "ELEV", "304.800000000000011"
3132359, "fid", "276"
3132359, "ID", "275"
3132359, "ELEV", "609.600000000000023"
3134217, "fid", "277"
3134217, "ID", "276"
3134217, "ELEV", "1219.200000000000045"
3138190, "fid", "278"
3138190, "ID", "277"
3138190, "ELEV", "609.600000000000023"
3138895, "fid", "279"
3138895, "ID", "278"
3138895, "ELEV", "914.400000000000091"
3139276, "fid", "280"
3139276, "ID", "279"
3139276, "ELEV", "1828.800000000000182"
3141311, "fid", "281"
3141311, "ID", "280"
3141311, "ELEV", "304.800000000000011"
3141511, "fid", "282"
3141511, "ID", "281"
3141511, "ELEV", "304.800000000000011"
3158669, "fid", "283"
3158669, "ID", "282"
3158669, "ELEV", "1219.200000000000045"
3158993, "fid", "284"
3158993, "ID", "283"
3158993, "ELEV", "304.800000000000011"
3160986, "fid", "285"
3160986, "ID", "284"
3160986, "ELEV", "1219.200000000000045"
3161614, "fid", "286"
3161614, "ID", "285"
3161614, "ELEV", "1219.200000000000045"
3163573, "fid", "287"
3163573, "ID", "286"
3163573, "ELEV", "304.800000000000011"
3164851, "fid", "288"
3164851, "ID", "287"
3164851, "ELEV", "914.400000000000091"
3167213, "fid", "289"
3167213, "ID", "288"
3167213, "ELEV", "914.400000000000091"
3174795, "fid", "290"
3174795, "ID", "289"
3174795, "ELEV", "609.600000000000023"
3203834, "fid", "291"
3203834, "ID", "290"
3203834, "ELEV", "609.600000000000023"
3205223, "fid", "292"
3205223, "ID", "291"
3205223, "ELEV", "609.600000000000023"
3205604, "fid", "293"
3205604, "ID", "292"
3205604, "ELEV", "304.800000000000011"
3206644, "fid", "294"
3206644, "ID", "293"
3206644, "ELEV", "304.800000000000011"
3206989, "fid", "295"
3206989, "ID", "294"
3206989, "ELEV", "1524.000000000000000"
3208263, "fid", "296"
3208263, "ID", "295"
3208263, "ELEV", "914.400000000000091"
3209040, "fid", "297"
3209040, "ID", "296"
3209040, "ELEV", "304.800000000000011"
3212230, "fid", "298"
3212230, "ID", "297"
3212230, "ELEV", "914.400000000000091"
3212430, "fid", "299"
3212430, "ID", "298"
3212430, "ELEV", "1828.800000000000182"
3216555, "fid", "300"
3216555, "ID", "299"
3216555, "ELEV", "304.800000000000011"
3220357, "fid", "301"
3220357, "ID", "300"
3220357, "ELEV", "609.600000000000023"
3222384, "fid", "302"
3222384, "ID", "301"
3222384, "ELEV", "304.800000000000011"
3222837, "fid", "303"
3222837, "ID", "302"
3222837, "ELEV", "2133.599999999999909"
3229280, "fid", "304"
3229280, "ID", "303"
3229280, "ELEV", "1524.000000000000000"
3270912, "fid", "305"
3270912, "ID", "304"
3270912, "ELEV", "914.400000000000091"
3271437, "fid", "306"
3271437, "ID", "305"
3271437, "ELEV", "609.600000000000023"
3278083, "fid", "307"
3278083, "ID", "306"
3278083, "ELEV", "609.600000000000023"
3279112, "fid", "308"
3279112, "ID", "307"
3279112, "ELEV", "304.800000000000011"
3286375, "fid", "309"
3286375, "ID", "308"
3286375, "ELEV", "304.800000000000011"
3287728, "fid", "310"
3287728, "ID", "309"
